date,Open,High,Low,Close,Volume,Currency,ticker
2023-11-14 00:00:00+00:00,1950.3,1975.3,1938.8,1966.5,142924,USD,Gold
2023-11-15 00:00:00+00:00,1966.9,1979.2,1958.8,1964.3,186810,USD,Gold
2023-11-16 00:00:00+00:00,1963.0,1991.1,1959.0,1987.3,133120,USD,Gold
2023-11-20 00:00:00+00:00,1980.9,1987.8,1967.2,1980.3,230024,USD,Gold
2023-11-21 00:00:00+00:00,1980.0,2009.8,1979.9,2001.6,199370,USD,Gold
2023-11-22 00:00:00+00:00,2000.3,2008.3,1988.6,1992.8,214880,USD,Gold
2023-11-27 00:00:00+00:00,2002.5,2018.9,2001.4,2012.4,174665,USD,Gold
2023-11-28 00:00:00+00:00,2014.3,2044.1,2011.5,2040.0,197789,USD,Gold
2023-11-29 00:00:00+00:00,2053.2,2062.3,2047.5,2057.5,151918,USD,Gold
2023-11-30 00:00:00+00:00,2055.8,2057.5,2042.6,2047.6,241615,USD,Gold
2023-12-04 00:00:00+00:00,2083.4,2140.7,2030.0,2032.9,209549,USD,Gold
2023-12-05 00:00:00+00:00,2039.2,2050.0,2019.9,2026.9,154219,USD,Gold
2023-12-06 00:00:00+00:00,2028.3,2042.8,2027.0,2038.4,173977,USD,Gold
2023-12-07 00:00:00+00:00,2034.7,2047.3,2027.4,2036.9,237289,USD,Gold
2023-12-11 00:00:00+00:00,2010.6,2013.2,1982.1,1984.3,148532,USD,Gold
2023-12-12 00:00:00+00:00,1989.0,2002.7,1983.5,1983.9,192679,USD,Gold
2023-12-13 00:00:00+00:00,1985.5,2033.3,1979.0,1988.1,231095,USD,Gold
2023-12-14 00:00:00+00:00,2031.6,2053.0,2030.6,2035.2,172147,USD,Gold
2023-12-18 00:00:00+00:00,2023.7,2036.3,2020.8,2030.9,134781,USD,Gold
2023-12-19 00:00:00+00:00,2031.0,2050.0,2025.4,2042.6,122567,USD,Gold
2023-12-20 00:00:00+00:00,2043.5,2045.9,2031.6,2038.1,119952,USD,Gold
2023-12-21 00:00:00+00:00,2034.7,2048.0,2034.0,2041.8,170150,USD,Gold
2023-12-26 00:00:00+00:00,2056.3,2069.6,2056.3,2060.4,128179,USD,Gold
2023-12-27 00:00:00+00:00,2068.0,2085.3,2063.3,2083.4,129544,USD,Gold
2023-12-28 00:00:00+00:00,2089.5,2098.2,2074.6,2083.5,105724,USD,Gold
